trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.8, 'e': 0.6556592205741436}",20,0,-11.261392113707922,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.8, 'e': 0.6491026283684022}",25,0,10.432286476972354,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.8, 'e': 0.6426116020847181}",25,0,-64.96654391552963,"{0: 15, 1: 9, 2: 0, 3: 0, 4: 1}",0
45,False,"{'a': 0.8, 'e': 0.6361854860638709}",30,0,-19.239130025336017,"{0: 20, 1: 10, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.8, 'e': 0.6298236312032323}",35,0,-23.563605459574585,"{0: 25, 1: 10, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.8, 'e': 0.6235253948912}",25,0,-5.601978821842753,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.8, 'e': 0.617290140942288}",25,0,-40.81254775553202,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.8, 'e': 0.6111172395328651}",20,0,5.4395964807499695,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.8, 'e': 0.6050060671375365}",20,0,-6.441836043909595,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.8, 'e': 0.5989560064661611}",20,0,-32.211582717671305,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.8, 'e': 0.5929664464014994}",25,0,-3.255157041666912,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.8, 'e': 0.5870367819374844}",20,0,-16.15683874009211,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.8, 'e': 0.5811664141181095}",25,0,-19.07373557375321,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
55,False,"{'a': 0.8, 'e': 0.5753547499769285}",20,0,-7.502585611963296,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.8, 'e': 0.5696012024771592}",35,0,-90.43470989959626,"{0: 19, 1: 15, 2: 0, 3: 0, 4: 1}",0
57,False,"{'a': 0.8, 'e': 0.5639051904523876}",30,9,16.43979006828961,"{0: 18, 1: 3, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.8, 'e': 0.5582661385478638}",25,0,-0.09838783004476914,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.8, 'e': 0.5526834771623851}",35,8,-12.703850137508006,"{0: 18, 1: 9, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.8, 'e': 0.5471566423907612}",30,0,-1.2046611902036852,"{0: 23, 1: 7, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.8, 'e': 0.5416850759668536}",20,12,12.189596137174126,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.8, 'e': 0.536268225207185}",20,0,4.535510526379858,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.8, 'e': 0.5309055429551132}",30,13,-2.488611725807665,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.8, 'e': 0.525596487525562}",25,0,-36.74647585397493,"{0: 19, 1: 5, 2: 0, 3: 0, 4: 1}",0
